theta_rad,theta_over_pi,t_over_R_vol_low,t_over_R_vol_mid,t_over_R_vol_high
2.8945010965658766,0.9213483146067415,0.013761319572911048,0.011123415398919957,0.011569194373209711
2.929799890426436,0.9325842696629213,0.01346456455438865,0.010074811832145066,0.011250091127383897
2.9650986842869957,0.9438202247191011,0.013232635490159616,0.009740747058418528,0.01124379549990388
3.0003974781475553,0.9550561797752809,0.012980431767080693,0.009439186307568561,0.011708401524991998
3.035696272008115,0.9662921348314607,0.012881472796393885,0.00986878319613851,0.012320831183110243
3.070995065868674,0.9775280898876404,0.01258755907323373,0.010571482377034282,0.012833276588843609
3.1062938597292336,0.9887640449438202,0.012680997848522006,0.010927761108553136,0.013313742608514222
3.141592653589793,1.0,0.012629954775389262,0.010996300345286947,0.013501906081847188
3.1768914474503527,1.0112359550561798,0.01316510904351634,0.010890276544882187,0.013447163265097673
3.2121902413109122,1.0224719101123596,0.013505358384357194,0.011225799018528446,0.013012420038661418
3.2474890351714714,1.0337078651685392,0.013570396116014882,0.010845724639617298,0.012351822568542815
3.282787829032031,1.044943820224719,0.01370949840131747,0.010771359912718164,0.011714245117224707
3.3180866228925905,1.0561797752808988,0.01297148948878315,0.010617722945740378,0.010858410932546603
3.35338541675315,1.0674157303370786,0.013213737052025977,0.009611878957480509,0.010076572768996764
3.388684210613709,1.0786516853932584,0.013404271855763074,0.009551160992575103,0.0099237823033289
3.4239830044742687,1.0898876404494382,0.013763021030051127,0.009278064840720546,0.010317768860280782
3.4592817983348283,1.101123595505618,0.014559610594706179,0.008822115033480696,0.01169935777909352
3.494580592195388,1.1123595505617978,0.014721474434471315,0.009077647285353133,0.013905652036270722
3.5298793860559474,1.1235955056179776,0.015709839976561942,0.009722271752296629,0.016163510653117615
3.5651781799165065,1.1348314606741572,0.01670105570288965,0.010731527888714187,0.01839497677862628
3.600476973777066,1.146067415730337,0.017142009944153044,0.012367868390404158,0.02017882211490662
3.6357757676376257,1.1573033707865168,0.01725178801374624,0.014306513359717617,0.02123916652474771
