vol_label,vol_key,V_norm,p_norm_mean,p_norm_std
25%,v1,0.001691315003584812,0.23898814100910148,0.01693031699510644
25%,v1,0.001701263915370605,0.23984686580101747,0.015525139621591364
25%,v1,0.001711212827156398,0.2420155292247806,0.015503229820013443
25%,v1,0.001721161738942191,0.2437813156958254,0.017631423148458558
25%,v1,0.001731110650727984,0.24555296277650573,0.017631423148458558
25%,v1,0.001741059562513777,0.2454208563785228,0.017631423148458558
25%,v1,0.00175100847429957,0.24569162804464934,0.01817057983970922
25%,v1,0.001760957386085363,0.24569982259120926,0.021326961410681956
25%,v1,0.001770906297871156,0.2486763882071807,0.022376299355555095
25%,v1,0.001780855209656949,0.25014114120668096,0.021513084620493655
25%,v1,0.001790804121442742,0.25237516802092896,0.019697153368499174
25%,v1,0.0018007530332285351,0.25284150809402395,0.024179799479311953
25%,v1,0.0018107019450143281,0.2544332593467779,0.0198179827335664
25%,v1,0.0018206508568001211,0.2555183139043508,0.01976301066403262
25%,v1,0.0018305997685859141,0.25550961599167493,0.01976301066403262
25%,v1,0.0018405486803717071,0.2552218687519135,0.019847040049063555
25%,v1,0.0018504975921575001,0.25467154881236387,0.020735972986852404
25%,v1,0.001860446503943293,0.25464428731669564,0.021645742120104783
25%,v1,0.001870395415729086,0.25482711304676303,0.022037454552115407
25%,v1,0.001880344327514879,0.25593301163944154,0.021236652654009362
25%,v1,0.001890293239300672,0.25685604391347816,0.02299110851190946
25%,v1,0.001900242151086465,0.25802981046110035,0.023700643772166505
25%,v1,0.001910191062872258,0.259470597359,0.022984170813008794
25%,v1,0.0019201399746580513,0.26143296353406026,0.022050578233385788
25%,v1,0.0019300888864438443,0.2640812805544813,0.019957237752998628
25%,v1,0.0019400377982296373,0.2659822560674441,0.023104249817601955
25%,v1,0.0019499867100154303,0.2669111593030759,0.024388611513113376
25%,v1,0.0019599356218012232,0.2668178308384904,0.024891827788369802
25%,v1,0.0019698845335870165,0.2668218976528855,0.024217173406165738
25%,v1,0.0019798334453728092,0.2671768259603385,0.02172918740413044
25%,v1,0.0019897823571586024,0.2671232457523087,0.01898372891322157
25%,v1,0.0019997312689443952,0.2668834078626082,0.018179951859097845
25%,v1,0.0020096801807301884,0.2667686136829418,0.021417770448107946
25%,v1,0.002019629092515981,0.267856546582941,0.022083315704374648
25%,v1,0.0020295780043017744,0.26880152150941167,0.02445038470045001
25%,v1,0.002039526916087567,0.26980895685903056,0.02426088951729377
25%,v1,0.0020494758278733604,0.2698976407274502,0.02086418753042311
25%,v1,0.002059424739659153,0.27061473728170315,0.019887042938108133
25%,v1,0.0020693736514449464,0.2709289436246198,0.022050578233385774
25%,v1,0.002079322563230739,0.2715057149398763,0.022050578233385774
25%,v1,0.0020892714750165324,0.2727307297071925,0.022050578233385774
